time,Vrain,Vgate,-IR1,IM1
0.000000000000000e+00,2.603571e-02,1.452015e+01,7.508730e-06,3.213368e-01
9.999999999852521e-12,2.603571e-02,1.452015e+01,7.508444e-06,3.213369e-01
2.999999999955756e-11,2.603572e-02,1.452015e+01,7.508270e-06,3.213371e-01
5.999999999996216e-11,2.603574e-02,1.452015e+01,7.508214e-06,3.213373e-01
1.000000000002193e-10,2.603577e-02,1.452015e+01,7.508134e-06,3.213376e-01
1.040000000003297e-10,2.603571e-02,1.452013e+01,1.048739e-06,3.213379e-01
1.120000000005505e-10,2.603539e-02,1.452005e+01,-2.659160e-05,3.213385e-01
1.280000000009922e-10,2.603357e-02,1.451967e+01,-1.525946e-04,3.213401e-01
1.600000000010285e-10,2.602557e-02,1.451823e+01,-6.246816e-04,3.213439e-01
2.000000000004385e-10,2.601001e-02,1.451566e+01,-1.466577e-03,3.213489e-01
2.040000000005490e-10,2.600796e-02,1.451534e+01,-1.568999e-03,3.213493e-01
2.120000000007698e-10,2.600322e-02,1.451467e+01,-1.788329e-03,3.213498e-01
2.280000000003644e-10,2.599343e-02,1.451337e+01,-2.209343e-03,3.213504e-01
2.599999999995537e-10,2.597364e-02,1.451095e+01,-2.984002e-03,3.213508e-01
3.239999999987792e-10,2.593665e-02,1.450673e+01,-4.306226e-03,3.213504e-01
4.519999999972303e-10,2.587675e-02,1.450000e+01,-6.319871e-03,3.213489e-01
6.663504917669606e-10,2.580739e-02,1.449171e+01,-8.600976e-03,3.213471e-01
8.943010852824945e-10,2.576346e-02,1.448551e+01,-1.006252e-02,3.213467e-01
1.156685533709938e-09,2.573683e-02,1.448042e+01,-1.098045e-02,3.213475e-01
1.448601873533336e-09,2.572254e-02,1.447608e+01,-1.150622e-02,3.213492e-01
1.889096969604731e-09,2.571435e-02,1.447069e+01,-1.186401e-02,3.213522e-01
2.364514946754975e-09,2.571312e-02,1.446555e+01,-1.199981e-02,3.213558e-01
