time,Vrain,Vgate,-IR1,IM1
0.000000000000000e+00,5.000000e+01,9.187250e-03,-1.734723e-20,1.018445e-10
9.999999824516700e-15,5.000000e+01,9.187258e-03,2.515647e-09,-7.643463e-09
1.015624982177477e-14,5.000000e+01,9.187258e-03,2.554532e-09,-7.544335e-09
1.019531232108929e-14,5.000000e+01,9.187258e-03,2.563415e-09,-4.569722e-09
1.027343731971833e-14,5.000000e+01,9.187258e-03,2.582222e-09,-9.824493e-09
1.042968731697640e-14,5.000000e+01,9.187258e-03,2.623766e-09,-3.230501e-08
1.074218731149255e-14,5.000000e+01,9.187258e-03,2.704452e-09,-3.300385e-09
1.075195293632118e-14,5.000000e+01,9.187258e-03,2.708295e-09,-2.994898e-09
1.077148418597844e-14,5.000000e+01,9.187258e-03,2.715375e-09,1.037169e-08
1.081054668529296e-14,5.000000e+01,9.187258e-03,2.722183e-09,2.638396e-08
1.088867168392199e-14,5.000000e+01,9.187259e-03,2.737651e-09,-2.099116e-08
1.104492168118007e-14,5.000000e+01,9.187259e-03,2.777039e-09,-5.102700e-08
1.135742167569621e-14,5.000000e+01,9.187259e-03,2.856930e-09,-2.172961e-08
1.198242166472851e-14,5.000000e+01,9.187260e-03,3.012890e-09,-9.211527e-09
1.323242164279309e-14,5.000000e+01,9.187261e-03,3.325931e-09,-4.142746e-09
1.573242159892227e-14,5.000000e+01,9.187263e-03,3.953777e-09,6.754255e-10
1.760742156601915e-14,5.000000e+01,9.187263e-03,4.423454e-09,-3.863079e-10
2.510742143440668e-14,5.000000e+01,9.187269e-03,6.299624e-09,1.852705e-09
3.510742125892338e-14,5.000000e+01,9.187276e-03,8.791916e-09,2.620362e-10
5.510742090795678e-14,5.000000e+01,9.187291e-03,1.375379e-08,-8.635955e-10
9.510742020602358e-14,5.000000e+01,9.187321e-03,2.363867e-08,-1.878677e-09
1.751074188021572e-13,5.000000e+01,9.187382e-03,4.355679e-08,-3.740207e-09
3.351074159944244e-13,5.000000e+01,9.187507e-03,8.536951e-08,-7.621305e-09
6.551074103789588e-13,5.000000e+01,9.187795e-03,1.808889e-07,-1.707363e-08
1.295107399148028e-12,5.000000e+01,9.188524e-03,4.225084e-07,-4.329143e-08
2.575107376686165e-12,5.000000e+01,9.190519e-03,1.083888e-06,-1.256030e-07
5.135107331762441e-12,5.000000e+01,9.196215e-03,2.968002e-06,-3.993258e-07
9.231608473414460e-12,5.000000e+01,9.209208e-03,7.256435e-06,-1.107904e-06
1.392768931555171e-11,5.000000e+01,9.230750e-03,1.434578e-05,-2.406456e-06
2.093494039345573e-11,5.000000e+01,9.278512e-03,2.999628e-05,-5.524199e-06
3.302543584039397e-11,5.000000e+01,9.408889e-03,7.237982e-05,-1.458308e-05
5.720642673427046e-11,5.000001e+01,9.778894e-03,1.918836e-04,-4.106796e-05
6.726892759503012e-11,5.000001e+01,9.985616e-03,2.581975e-04,-5.607728e-05
7.987499827848066e-11,5.000002e+01,1.032403e-02,3.659410e-04,-8.081132e-05
1.000000000000000e-10,5.000004e+01,1.094942e-02,5.641000e-04,-1.265911e-04
1.020125001721519e-10,5.000004e+01,1.102193e-02,5.868680e-04,-1.319942e-04
1.060375005164558e-10,5.000005e+01,1.116808e-02,6.326339e-04,-1.429152e-04
1.140875012050635e-10,5.000006e+01,1.146491e-02,7.249312e-04,-1.651220e-04
1.301875025822790e-10,5.000008e+01,1.207318e-02,9.113441e-04,-2.102682e-04
1.623875053367100e-10,5.000016e+01,1.332800e-02,1.287244e-03,-3.016008e-04
2.012848948342056e-10,5.000027e+01,1.489262e-02,1.742687e-03,-4.124295e-04
2.352003834225123e-10,5.000040e+01,1.629552e-02,2.137963e-03,-5.087320e-04
2.677354496991399e-10,5.000054e+01,1.766958e-02,2.512670e-03,-6.001095e-04
2.988916217441984e-10,5.000071e+01,1.900633e-02,2.863937e-03,-6.858412e-04
3.536123620589380e-10,5.000105e+01,2.138294e-02,3.460709e-03,-8.316203e-04
4.183805326244544e-10,5.000154e+01,2.421672e-02,4.129332e-03,-9.951198e-04
5.124993640990016e-10,5.000239e+01,2.833792e-02,5.021514e-03,-1.213559e-03
6.250025432676194e-10,5.000360e+01,3.321885e-02,5.960786e-03,-1.443877e-03
7.811927507570227e-10,5.000560e+01,3.986416e-02,7.047301e-03,-1.710851e-03
9.788792224967744e-10,5.000854e+01,4.803701e-02,8.113055e-03,-1.973533e-03
